,locality,proprety_type,price,bedrooms,area,equipped_kitchen,furnished,terrace,terrace_area,garden,garden_area,surface,surface_plot,facades,state,swimming_pool
115,1460,156,50000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,288.0,2.0,4,0.0
116,833,156,50000,2.0,80.0,1,0.0,0.0,0.0,0.0,0.0,80.0,80.0,3.0,5,0.0
117,1534,18,50000,3.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,4,0.0
118,772,156,50000,4.0,201.43684820393972,1,0.0,0.0,0.0,1.0,1235.0,201.43684820393972,1385.0,3.0,0,0.0
119,1566,19,50000,4.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,6,0.0
120,1142,156,50000,1.0,79.0,1,0.0,0.0,0.0,0.0,0.0,79.0,363.0,2.0,4,0.0
121,1641,156,50000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,580.0,2.0,4,0.0
122,1737,156,50000,3.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,188.0,2.0,4,0.0
123,1570,156,50000,2.0,201.43684820393972,2,0.0,0.0,0.0,0.0,0.0,201.43684820393972,170.0,2.0,6,0.0
124,1042,156,50000,3.0,100.0,1,0.0,0.0,0.0,0.0,0.0,100.0,100.0,3.0,6,0.0
125,1104,156,50000,2.0,78.0,1,0.0,0.0,0.0,0.0,0.0,78.0,78.0,2.0,4,0.0
126,1483,156,50000,3.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,75.0,2.0,6,0.0
127,1639,156,50000,3.0,147.0,1,0.0,0.0,0.0,0.0,0.0,147.0,170.0,4.0,6,0.0
128,1381,156,50000,3.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,6,0.0
129,1460,156,50000,2.0,80.0,1,0.0,0.0,0.0,0.0,0.0,80.0,425.0,2.0,4,0.0
130,1072,18,50000,1.0,65.0,1,0.0,0.0,0.0,0.0,0.0,65.0,65.0,2.0,6,0.0
131,1532,156,51000,1.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,87.0,2.0,6,0.0
132,1499,156,51000,3.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,220.0,3.0,5,0.0
133,1083,156,51000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,6,0.0
134,1566,156,52500,2.0,85.0,1,0.0,0.0,0.0,1.0,1300.0,85.0,1385.0,3.0,4,0.0
135,1920,462,53790,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,6,0.0
136,552,423,54000,2.0,16.0,1,0.0,0.0,0.0,0.0,0.0,16.0,16.0,2.0,1,0.0
137,1434,156,54000,2.0,80.0,1,0.0,0.0,0.0,0.0,0.0,80.0,100.0,3.0,5,0.0
138,1125,156,54000,3.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,170.0,3.0,5,0.0
139,554,18,55000,1.0,28.0,1,0.0,0.0,0.0,0.0,0.0,28.0,28.0,2.0,6,0.0
140,1783,222,55000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,6,0.0
141,1853,339,55000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,6,0.0
142,1942,423,55000,2.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,6,0.0
143,1100,156,55000,4.0,202.0,3,0.0,0.0,0.0,0.0,0.0,202.0,202.0,3.0,6,0.0
144,1034,156,55000,3.0,127.0,2,0.0,0.0,0.0,0.0,0.0,127.0,127.0,3.0,4,0.0
145,1566,156,55000,2.0,56.0,1,0.0,0.0,0.0,0.0,0.0,56.0,230.0,2.0,6,0.0
146,1153,156,55000,3.0,201.43684820393972,1,0.0,0.0,0.0,0.0,0.0,201.43684820393972,201.43684820393972,2.0,6,0.0
147,1351,66,55000,2.0,60.0,1,0.0,0.0,0.0,0.0,0.0,60.0,282.0,4.0,1,0.0
